,binary
259,False
260,False
261,False
262,False
263,False
264,False
265,False
266,False
267,False
268,False
269,False
270,False
271,False
272,False
273,False
274,False
275,True
276,True
277,True
278,True
279,False
280,False
281,False
282,False
283,False
284,False
285,False
286,False
287,False
288,False
289,False
290,False
291,False
292,False
293,False
294,False
295,False
296,False
297,False
298,False
299,True
300,True
301,True
302,False
303,False
304,False
305,False
306,False
307,False
308,False
309,False
310,False
311,False
312,False
313,False
314,False
315,False
316,False
317,False
318,True
319,True
320,False
321,False
322,False
323,False
324,True
325,True
326,True
327,False
328,False
329,False
330,False
331,False
332,False
333,False
334,True
335,True
336,True
337,True
338,True
339,True
340,False
341,False
342,False
343,False
344,False
345,False
346,False
347,True
348,True
349,True
350,True
351,True
352,True
353,False
354,False
355,False
356,True
357,False
358,False
359,False
360,True
361,True
362,True
363,True
364,True
365,True
366,True
367,True
368,False
369,False
370,False
371,False
372,False
373,False
374,False
375,False
376,False
377,False
378,False
379,False
380,False
381,False
382,False
383,False
384,False
385,False
386,False
387,False
388,False
389,False
390,False
391,False
392,True
393,True
394,False
395,False
396,False
397,False
398,False
399,True
400,True
401,True
402,True
403,True
404,False
405,False
406,False
407,False
408,False
409,False
410,True
411,False
412,False
413,False
414,True
415,True
416,True
417,True
418,True
419,True
420,True
421,True
422,False
423,False
424,False
425,False
426,True
427,True
428,True
429,True
430,False
431,True
432,True
433,True
434,True
435,False
436,False
437,False
438,False
439,False
440,True
441,True
442,True
443,False
444,True
445,True
446,True
447,True
448,True
449,True
450,False
451,False
452,False
453,True
454,True
455,True
456,True
457,True
458,True
459,False
460,True
461,True
462,True
463,True
464,True
465,True
466,False
467,False
468,False
469,False
470,False
471,True
472,True
473,False
474,False
475,False
476,True
477,True
478,True
479,True
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,True
488,False
489,True
490,False
491,False
492,True
493,True
494,True
495,True
496,True
497,True
498,False
499,False
500,False
501,False
502,False
503,False
504,False
505,False
506,False
507,False
508,False
509,False
510,False
511,False
512,False
513,False
514,False
515,False
516,True
517,True
518,True
519,True
520,False
521,False
522,False
523,False
524,False
525,False
526,False
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,False
542,False
543,True
544,True
545,True
546,True
547,True
548,False
549,False
550,True
551,True
552,True
553,False
554,False
555,True
556,True
557,True
558,False
559,True
560,True
561,False
562,False
563,False
564,False
565,False
566,False
567,False
568,True
569,False
570,False
571,True
572,False
573,False
574,True
575,True
576,True
577,True
578,False
579,False
580,False
581,False
582,False
583,False
584,False
585,False
586,False
587,False
588,False
589,False
590,False
591,False
592,False
593,False
594,False
595,False
596,False
597,False
598,False
599,False
600,False
601,False
602,True
603,True
604,True
605,True
606,True
607,True
608,True
609,False
610,False
611,False
612,False
613,True
614,True
615,False
616,False
617,False
618,False
619,False
620,False
621,True
622,True
623,True
624,True
625,True
626,True
627,True
628,False
629,False
630,False
631,False
632,False
633,False
634,False
635,False
636,False
637,False
638,False
639,False
640,True
641,True
642,True
643,False
644,False
645,False
646,False
647,False
648,True
649,True
650,True
651,True
652,True
653,True
654,False
655,True
656,True
657,True
658,False
659,False
660,False
661,False
662,False
663,True
664,False
665,False
666,False
667,False
668,False
669,False
670,False
671,False
672,False
673,False
674,False
675,False
676,False
677,True
678,True
679,True
680,True
681,True
682,True
683,True
684,True
685,True
686,True
687,True
688,True
689,True
690,True
691,True
692,True
693,True
694,True
695,False
696,False
697,False
698,False
699,False
700,False
701,False
702,False
703,False
704,False
705,False
706,False
707,False
708,False
709,False
710,True
711,True
712,True
713,False
714,False
715,False
716,False
717,False
718,False
719,False
720,False
721,False
722,False
723,False
724,False
725,False
726,False
727,False
728,False
729,False
730,False
731,False
732,False
733,False
734,False
735,False
736,False
737,False
738,False
739,False
740,False
741,False
742,False
743,False
744,False
745,False
746,False
747,False
748,False
749,False
750,False
751,False
752,False
753,False
754,False
755,True
756,False
757,False
758,False
759,False
760,False
761,True
762,True
763,True
764,True
765,True
766,False
767,False
768,False
769,False
770,True
771,False
772,False
773,False
774,False
775,False
776,True
777,True
778,False
779,False
780,False
781,False
782,False
783,True
784,True
785,False
786,False
787,False
788,True
789,True
790,True
791,False
792,False
793,False
794,True
795,True
796,True
797,True
798,False
799,False
800,False
801,False
802,False
803,False
804,False
805,False
806,False
807,False
808,False
809,False
810,False
811,False
812,False
813,True
814,True
815,True
816,True
817,True
818,True
819,True
820,True
821,False
822,False
823,False
824,False
825,False
826,True
827,False
828,False
829,True
830,False
831,False
832,True
833,True
834,True
835,True
836,False
837,True
838,False
839,False
840,False
841,False
842,False
843,False
844,False
845,False
846,False
847,True
848,False
849,False
850,False
851,False
852,False
853,False
854,False
855,False
856,False
857,False
858,False
859,False
860,False
861,False
862,False
863,True
864,True
865,True
866,True
867,False
868,True
869,False
870,False
871,False
872,False
873,False
874,False
875,True
876,False
877,False
878,False
879,False
880,False
881,False
882,False
883,False
884,False
885,True
886,False
887,False
888,False
889,False
890,False
891,True
892,True
893,True
894,False
895,False
896,False
897,False
898,False
899,False
900,False
901,False
902,False
903,False
904,False
905,False
906,False
907,False
908,False
909,True
910,True
911,True
912,True
913,True
914,False
915,False
916,False
917,False
918,False
919,True
920,False
921,False
922,True
923,True
924,True
925,False
926,True
927,True
928,True
929,False
930,False
931,False
932,True
933,True
934,False
935,False
936,False
937,True
938,True
939,True
940,True
941,True
942,False
943,False
944,False
945,False
946,False
947,False
948,False
949,False
950,False
951,True
952,True
953,True
954,True
955,False
956,False
957,False
958,False
959,True
960,True
961,True
962,True
963,True
964,True
965,False
966,False
967,False
968,False
969,False
970,False
971,False
972,False
973,False
974,False
975,False
976,False
977,False
978,True
979,True
980,True
981,False
982,False
983,False
984,False
985,False
986,False
987,False
988,False
989,False
990,False
991,False
992,False
993,False
994,False
995,False
996,False
997,False
998,True
999,True
1000,True
1001,True
1002,True
1003,True
1004,True
1005,False
1006,False
1007,False
1008,True
1009,False
1010,False
1011,False
1012,False
1013,False
1014,False
1015,True
1016,True
1017,True
1018,True
1019,True
1020,True
1021,True
1022,False
1023,False
1024,False
1025,False
1026,False
1027,False
1028,False
1029,False
1030,True
1031,True
1032,True
1033,True
1034,True
1035,True
1036,True
1037,True
1038,True
1039,False
1040,False
1041,False
1042,False
1043,False
1044,False
1045,False
1046,False
1047,False
1048,False
1049,False
1050,True
1051,True
1052,True
1053,True
1054,False
1055,False
1056,False
1057,True
1058,True
1059,True
1060,True
1061,False
1062,False
1063,False
1064,False
1065,False
1066,False
1067,False
1068,False
1069,False
1070,False
1071,False
1072,False
1073,True
1074,True
1075,True
1076,True
1077,True
1078,True
1079,True
1080,True
1081,True
1082,False
1083,False
1084,False
1085,True
1086,True
1087,True
1088,True
1089,True
1090,True
1091,True
1092,False
1093,False
1094,False
1095,False
1096,False
1097,False
1098,False
1099,False
1100,True
1101,True
1102,True
1103,True
1104,True
1105,True
1106,True
1107,True
1108,True
1109,True
1110,True
1111,True
1112,False
1113,False
1114,False
1115,True
1116,True
1117,True
1118,True
1119,False
1120,False
1121,True
1122,True
1123,True
1124,True
1125,True
1126,True
1127,True
1128,False
1129,True
1130,True
1131,True
1132,False
1133,False
1134,False
1135,False
1136,False
1137,False
1138,False
1139,False
1140,False
1141,False
1142,False
1143,False
1144,False
1145,False
1146,False
1147,True
1148,True
1149,True
1150,True
1151,False
1152,False
1153,False
1154,False
1155,False
1156,False
1157,True
1158,True
1159,True
1160,True
1161,True
1162,True
1163,True
1164,True
1165,True
1166,True
1167,True
1168,True
1169,False
1170,False
1171,True
1172,True
1173,True
1174,True
1175,True
1176,True
1177,True
1178,True
1179,True
1180,True
1181,True
1182,True
1183,False
1184,True
1185,True
1186,True
1187,True
1188,True
1189,True
1190,True
1191,True
1192,False
1193,False
1194,False
1195,True
1196,True
1197,True
1198,False
1199,True
1200,True
1201,True
1202,True
1203,True
1204,True
1205,False
1206,False
1207,False
1208,False
1209,False
1210,False
1211,False
1212,True
1213,True
1214,True
1215,True
1216,True
1217,True
1218,True
1219,True
1220,True
1221,True
1222,True
1223,True
1224,True
1225,False
1226,False
1227,False
1228,True
1229,True
1230,True
1231,True
1232,True
1233,True
1234,False
1235,True
1236,False
1237,True
1238,True
1239,True
1240,True
1241,True
1242,True
1243,True
1244,True
1245,False
1246,False
1247,False
1248,False
1249,False
1250,False
1251,False
1252,True
1253,True
1254,True
1255,True
1256,True
1257,True
1258,True
1259,False
1260,False
1261,False
1262,True
1263,True
1264,False
1265,True
1266,True
1267,True
1268,True
1269,True
1270,True
1271,True
1272,True
1273,True
1274,True
1275,False
1276,False
1277,False
1278,True
1279,True
1280,False
1281,False
1282,False
1283,False
1284,False
1285,False
1286,False
1287,True
1288,True
1289,True
1290,True
1291,True
1292,True
1293,True
1294,True
1295,True
1296,True
1297,True
1298,True
1299,True
1300,True
1301,True
1302,True
1303,True
1304,False
1305,True
1306,True
1307,True
1308,True
1309,True
1310,True
1311,True
1312,False
1313,True
1314,False
1315,True
1316,True
1317,True
1318,True
1319,True
1320,True
1321,True
1322,True
1323,True
1324,True
1325,True
1326,True
1327,True
1328,True
1329,False
1330,True
1331,True
1332,True
1333,True
1334,True
1335,True
1336,True
1337,False
1338,False
1339,False
1340,True
1341,True
1342,True
1343,False
1344,True
1345,True
1346,True
1347,True
1348,True
1349,False
1350,False
1351,True
1352,True
1353,True
1354,True
1355,False
1356,True
1357,True
1358,True
1359,True
1360,True
1361,True
1362,True
1363,False
1364,False
1365,False
1366,False
1367,True
1368,True
1369,True
1370,True
1371,True
1372,True
1373,True
1374,True
1375,True
1376,True
1377,True
1378,True
1379,False
1380,False
1381,True
1382,True
1383,True
1384,True
1385,True
1386,True
1387,False
1388,True
1389,True
1390,True
1391,True
1392,True
1393,True
1394,True
1395,False
1396,True
1397,True
1398,True
1399,True
1400,True
1401,True
1402,True
1403,True
1404,True
1405,True
1406,True
1407,True
1408,False
1409,False
1410,False
1411,False
1412,False
1413,True
1414,False
1415,False
1416,False
1417,False
1418,False
1419,False
1420,True
1421,False
1422,False
1423,False
1424,True
1425,True
1426,True
1427,True
1428,True
1429,True
1430,True
1431,True
1432,True
1433,True
1434,False
1435,False
1436,True
1437,True
1438,True
1439,True
1440,False
1441,False
1442,False
1443,False
1444,False
1445,True
1446,True
1447,True
1448,True
1449,True
1450,True
1451,True
1452,True
1453,True
1454,True
1455,True
1456,True
1457,False
1458,True
1459,True
1460,True
1461,True
1462,True
1463,True
1464,True
1465,True
1466,True
1467,True
1468,False
1469,False
1470,False
1471,True
1472,True
1473,True
1474,True
1475,True
1476,True
1477,True
1478,True
1479,True
1480,True
1481,True
1482,True
1483,True
1484,True
1485,False
1486,True
1487,True
1488,True
1489,True
1490,True
1491,True
1492,True
1493,True
1494,True
1495,False
1496,False
1497,True
1498,True
1499,True
1500,True
1501,True
1502,True
1503,True
1504,True
1505,True
1506,True
1507,True
1508,True
1509,True
1510,True
1511,True
1512,False
1513,True
1514,True
1515,True
1516,False
1517,False
1518,True
1519,True
1520,True
1521,True
1522,False
1523,True
1524,True
1525,True
1526,True
1527,False
1528,False
1529,True
1530,True
1531,False
1532,False
1533,False
1534,False
1535,False
1536,True
1537,True
1538,True
1539,True
1540,True
1541,False
1542,True
1543,True
1544,True
1545,True
1546,False
1547,True
1548,True
1549,False
1550,True
1551,True
1552,True
1553,True
1554,True
1555,False
1556,False
1557,True
1558,True
1559,True
1560,True
1561,True
1562,True
1563,True
1564,True
1565,True
1566,True
1567,True
1568,True
1569,True
1570,True
1571,True
1572,True
1573,True
1574,True
1575,True
1576,True
1577,True
1578,True
1579,False
1580,True
1581,True
1582,True
1583,True
1584,True
1585,True
1586,True
1587,True
1588,True
1589,False
1590,False
1591,False
1592,True
1593,False
1594,False
1595,False
1596,False
1597,True
1598,False
1599,True
1600,True
1601,True
1602,False
1603,True
1604,True
1605,True
1606,True
1607,True
1608,True
1609,True
1610,False
1611,False
1612,False
1613,False
1614,False
1615,False
1616,False
1617,False
1618,False
1619,True
1620,True
1621,True
1622,True
1623,True
1624,True
1625,True
1626,True
1627,False
1628,False
1629,False
1630,False
1631,False
1632,False
1633,True
1634,True
1635,True
1636,False
1637,False
1638,False
1639,False
1640,False
1641,True
1642,True
1643,True
1644,True
1645,False
1646,True
1647,True
1648,True
1649,True
1650,True
1651,True
1652,True
1653,False
1654,False
1655,True
1656,True
1657,False
1658,False
1659,False
1660,False
1661,True
1662,True
1663,True
1664,True
1665,True
1666,True
1667,False
1668,False
1669,False
1670,True
1671,False
1672,True
1673,True
1674,True
1675,True
1676,True
1677,True
1678,True
1679,True
1680,True
1681,False
1682,False
1683,True
1684,True
1685,True
1686,True
1687,True
1688,True
1689,True
1690,True
1691,True
1692,True
1693,True
1694,True
1695,False
1696,True
1697,True
1698,True
1699,True
1700,True
1701,True
1702,True
1703,False
1704,False
1705,True
1706,True
1707,True
1708,True
1709,True
1710,True
1711,True
1712,False
1713,False
1714,False
1715,True
1716,True
1717,True
1718,True
1719,True
1720,True
1721,True
1722,True
1723,False
1724,False
1725,False
1726,False
1727,False
1728,False
1729,False
1730,False
1731,False
1732,True
1733,True
1734,False
1735,False
1736,False
1737,False
1738,False
1739,False
1740,False
1741,False
1742,False
1743,True
1744,True
1745,True
1746,True
1747,True
1748,True
1749,True
1750,True
1751,True
1752,True
1753,True
1754,True
1755,True
1756,True
1757,False
1758,True
1759,True
1760,False
1761,False
1762,False
1763,False
1764,True
1765,True
1766,True
1767,True
1768,False
1769,False
1770,False
1771,False
1772,False
1773,True
1774,True
1775,True
1776,True
1777,True
1778,True
1779,False
1780,False
1781,False
1782,True
1783,True
1784,True
1785,True
1786,True
1787,False
1788,False
1789,False
1790,True
1791,True
1792,True
1793,True
1794,True
1795,True
1796,True
1797,False
1798,False
1799,False
1800,True
1801,True
1802,True
1803,True
1804,True
1805,True
1806,False
1807,True
1808,True
1809,True
1810,True
1811,True
1812,False
1813,False
1814,True
1815,True
1816,True
1817,True
1818,True
1819,False
1820,False
1821,False
1822,False
1823,False
1824,False
1825,False
1826,True
1827,True
1828,True
1829,False
1830,False
1831,True
1832,True
1833,True
1834,False
1835,True
1836,True
1837,True
1838,True
1839,False
1840,False
1841,False
1842,False
1843,True
1844,False
1845,False
1846,False
1847,False
1848,True
1849,True
1850,True
1851,True
1852,True
1853,True
1854,False
1855,False
1856,False
1857,True
1858,True
1859,True
1860,True
1861,False
1862,True
1863,True
1864,True
1865,True
1866,False
1867,False
1868,False
1869,False
1870,False
1871,True
1872,True
1873,True
1874,True
1875,False
1876,True
1877,True
1878,True
1879,True
1880,True
1881,True
1882,True
1883,True
1884,False
1885,False
1886,False
1887,False
1888,True
1889,True
1890,True
1891,True
1892,True
1893,True
1894,True
1895,True
1896,True
1897,True
1898,False
1899,True
1900,True
1901,False
1902,False
1903,False
1904,False
1905,False
1906,False
1907,False
1908,False
1909,False
1910,False
1911,False
1912,False
1913,True
1914,True
1915,True
1916,True
1917,False
1918,True
1919,True
1920,True
1921,True
1922,False
1923,False
1924,False
1925,False
1926,False
1927,False
1928,False
1929,True
1930,True
1931,True
1932,True
1933,True
1934,False
1935,True
1936,True
1937,True
1938,True
1939,False
1940,True
1941,True
1942,True
1943,True
1944,True
1945,True
1946,True
1947,True
1948,True
1949,False
1950,False
1951,False
1952,False
1953,False
1954,True
1955,False
1956,False
1957,True
1958,True
1959,True
1960,True
1961,True
1962,True
1963,True
1964,True
1965,True
1966,True
1967,True
1968,False
1969,False
1970,True
1971,True
1972,True
1973,True
1974,False
1975,False
1976,True
1977,True
1978,False
1979,False
1980,False
1981,False
1982,True
1983,True
1984,True
1985,False
1986,True
1987,True
1988,True
1989,True
1990,True
1991,True
1992,True
1993,True
1994,True
1995,True
1996,True
1997,True
1998,True
1999,True
2000,True
2001,True
2002,True
2003,True
2004,True
2005,True
2006,False
2007,False
2008,False
2009,True
2010,True
2011,True
2012,True
2013,True
2014,False
2015,False
2016,True
2017,True
2018,True
2019,True
2020,True
2021,False
2022,False
2023,False
2024,False
2025,True
2026,True
2027,True
2028,True
2029,True
2030,True
2031,True
2032,True
2033,True
2034,False
2035,True
2036,True
2037,True
2038,False
2039,True
2040,True
2041,True
2042,True
2043,False
2044,False
2045,False
2046,False
2047,False
2048,False
2049,True
2050,True
2051,True
2052,True
2053,True
2054,True
2055,False
2056,True
2057,True
2058,True
2059,True
2060,False
2061,False
2062,False
2063,False
2064,True
2065,True
2066,True
2067,True
2068,True
2069,True
2070,False
2071,True
2072,True
2073,False
2074,True
2075,True
2076,True
2077,False
2078,False
2079,False
2080,False
2081,False
2082,False
2083,False
2084,False
2085,False
2086,True
2087,True
2088,True
2089,True
2090,True
2091,True
2092,False
2093,False
2094,False
2095,False
2096,False
2097,False
2098,False
2099,False
2100,False
2101,False
2102,False
2103,False
2104,True
2105,True
2106,False
2107,False
2108,True
2109,True
2110,True
2111,True
2112,True
2113,False
2114,False
2115,False
2116,False
2117,True
2118,True
2119,True
2120,True
2121,True
2122,True
2123,True
2124,True
2125,True
2126,True
2127,True
2128,True
2129,True
2130,True
2131,True
2132,True
2133,True
2134,False
2135,True
2136,True
2137,True
2138,True
2139,True
2140,True
2141,True
2142,True
2143,True
2144,True
2145,False
2146,False
2147,False
2148,False
2149,False
2150,False
2151,False
2152,True
2153,True
2154,False
2155,True
2156,True
2157,False
2158,True
2159,True
2160,True
2161,True
2162,True
2163,True
2164,True
2165,False
2166,True
2167,True
2168,False
2169,False
2170,False
2171,False
2172,False
2173,False
2174,False
2175,False
2176,False
2177,False
2178,False
2179,True
2180,True
2181,True
2182,True
2183,True
2184,False
2185,False
2186,False
2187,True
2188,True
2189,True
2190,True
2191,True
2192,True
2193,True
2194,True
2195,True
2196,True
2197,True
2198,True
2199,True
2200,True
2201,True
2202,True
2203,True
2204,True
2205,True
2206,True
2207,True
2208,True
2209,True
2210,True
2211,True
2212,True
2213,True
2214,False
2215,False
2216,False
2217,False
2218,True
2219,False
2220,True
2221,True
2222,True
2223,True
2224,True
2225,True
2226,True
2227,True
2228,True
2229,True
2230,True
2231,True
2232,True
2233,True
2234,True
2235,True
2236,True
2237,False
2238,True
2239,False
2240,True
2241,False
2242,True
2243,True
2244,False
2245,True
2246,True
2247,True
2248,False
2249,False
2250,False
2251,False
2252,False
2253,True
2254,True
2255,True
2256,True
2257,True
2258,True
2259,True
2260,True
2261,True
2262,True
2263,True
2264,True
2265,True
2266,True
2267,False
2268,False
2269,True
2270,True
2271,True
2272,True
2273,True
2274,True
2275,False
2276,True
2277,True
2278,True
2279,True
2280,True
2281,False
2282,False
2283,False
2284,True
2285,True
2286,True
2287,True
2288,True
2289,False
2290,False
2291,True
2292,True
2293,True
2294,True
2295,True
2296,True
2297,True
2298,False
2299,False
2300,True
2301,True
2302,True
2303,True
2304,True
2305,True
2306,True
2307,True
2308,False
2309,True
2310,True
2311,True
2312,True
2313,True
2314,True
2315,True
2316,True
2317,True
2318,True
2319,True
2320,True
2321,True
2322,True
2323,True
2324,True
2325,True
2326,True
2327,True
2328,False
2329,True
2330,True
2331,True
2332,True
2333,True
2334,False
2335,False
2336,True
2337,True
2338,True
2339,False
2340,False
2341,False
2342,True
2343,True
2344,True
2345,True
2346,True
2347,True
2348,True
2349,True
2350,True
2351,True
2352,False
2353,False
2354,True
2355,True
2356,True
2357,True
2358,False
2359,True
2360,True
2361,True
2362,True
2363,True
2364,True
2365,False
2366,False
2367,False
2368,False
2369,True
2370,True
2371,True
2372,True
2373,True
2374,True
2375,True
2376,True
2377,True
2378,True
2379,True
2380,True
2381,True
2382,False
2383,True
2384,True
2385,True
2386,False
2387,False
2388,False
2389,False
2390,False
2391,False
2392,False
2393,False
2394,False
2395,False
2396,False
2397,True
2398,True
2399,True
2400,True
2401,True
2402,False
2403,False
2404,False
2405,True
2406,True
2407,False
2408,False
2409,False
2410,False
2411,True
2412,False
2413,False
2414,False
2415,False
2416,True
2417,True
2418,True
2419,True
2420,False
2421,False
2422,False
2423,False
2424,True
2425,True
2426,True
2427,False
2428,True
2429,True
2430,True
2431,True
2432,True
2433,False
2434,False
2435,False
2436,False
2437,False
2438,True
2439,True
2440,True
2441,True
2442,True
2443,True
2444,True
2445,True
2446,True
2447,False
2448,False
2449,False
2450,False
2451,False
2452,True
2453,False
2454,True
2455,False
2456,True
2457,True
2458,True
2459,True
2460,False
2461,False
2462,False
2463,True
2464,True
2465,True
2466,True
2467,True
2468,True
2469,True
2470,True
2471,True
2472,False
2473,True
2474,True
2475,True
2476,True
2477,True
2478,True
2479,True
2480,False
2481,False
2482,False
2483,True
2484,False
2485,False
2486,False
2487,False
2488,False
2489,False
2490,True
2491,True
2492,True
2493,True
2494,True
2495,True
2496,True
2497,True
2498,True
2499,True
2500,True
2501,True
2502,True
2503,False
2504,False
2505,False
2506,False
2507,False
2508,False
2509,False
2510,True
2511,True
2512,False
2513,True
2514,True
2515,True
2516,True
2517,True
2518,False
2519,False
2520,False
2521,True
2522,True
2523,False
2524,True
2525,True
2526,True
2527,True
2528,True
2529,True
2530,False
2531,False
2532,False
2533,False
2534,True
2535,True
2536,True
2537,True
2538,True
2539,True
2540,True
2541,True
2542,True
2543,True
2544,True
2545,True
2546,True
2547,True
2548,False
2549,False
2550,False
2551,False
2552,True
2553,True
2554,True
2555,True
2556,True
2557,False
2558,True
2559,True
2560,False
2561,False
2562,False
2563,False
2564,True
2565,True
2566,True
2567,True
2568,True
2569,True
2570,True
2571,True
2572,True
2573,True
2574,False
2575,True
2576,True
2577,True
2578,True
2579,False
2580,True
2581,True
2582,True
2583,True
2584,True
2585,True
2586,True
2587,True
2588,True
2589,False
2590,False
2591,True
2592,True
2593,True
2594,True
2595,True
2596,True
2597,True
2598,True
2599,True
2600,True
2601,True
2602,False
2603,True
2604,False
2605,False
2606,False
2607,False
2608,True
2609,False
2610,False
2611,False
2612,False
2613,False
2614,False
2615,True
2616,True
2617,True
2618,False
2619,False
2620,False
2621,True
2622,True
2623,True
2624,True
2625,True
2626,True
2627,False
2628,True
2629,True
2630,True
2631,False
2632,True
2633,True
2634,True
2635,True
2636,True
2637,True
2638,False
2639,False
2640,False
2641,False
2642,True
2643,True
2644,True
2645,True
2646,True
2647,True
2648,True
2649,True
2650,True
2651,True
2652,True
2653,True
2654,True
2655,True
2656,True
2657,False
2658,False
2659,True
2660,True
2661,True
2662,True
2663,True
2664,True
2665,True
2666,True
2667,True
2668,True
2669,False
2670,True
2671,True
2672,False
2673,False
2674,False
2675,True
2676,True
2677,True
2678,True
2679,True
2680,True
2681,True
2682,True
2683,False
2684,False
2685,True
2686,True
2687,False
2688,False
2689,True
2690,True
2691,True
2692,False
2693,True
2694,True
2695,True
2696,False
2697,True
2698,True
2699,True
2700,True
2701,True
2702,True
2703,True
2704,True
2705,False
2706,False
2707,True
2708,False
2709,True
2710,True
2711,False
2712,True
2713,True
2714,True
2715,True
2716,True
2717,True
2718,True
2719,False
2720,True
2721,True
2722,True
2723,True
2724,True
2725,False
2726,True
2727,True
2728,True
2729,True
2730,True
2731,True
2732,False
2733,True
2734,True
2735,False
2736,False
2737,False
2738,True
2739,True
2740,True
2741,False
2742,False
2743,False
2744,False
2745,False
2746,True
2747,True
2748,True
2749,True
2750,False
2751,False
2752,False
2753,True
2754,True
2755,False
2756,False
2757,True
2758,True
2759,True
2760,False
2761,True
2762,True
2763,False
2764,False
2765,False
2766,False
2767,False
2768,False
2769,False
2770,False
2771,False
2772,False
2773,False
2774,False
2775,False
2776,True
2777,True
2778,False
2779,True
2780,True
2781,True
2782,True
2783,True
2784,True
2785,True
2786,True
2787,True
2788,True
2789,True
2790,True
2791,True
2792,True
2793,True
2794,True
2795,True
2796,True
2797,True
2798,False
2799,False
2800,True
2801,True
2802,True
2803,True
2804,True
2805,True
2806,True
2807,True
2808,True
2809,True
2810,True
2811,False
2812,False
2813,True
2814,True
2815,True
2816,True
2817,True
2818,False
2819,False
2820,True
2821,True
2822,True
2823,True
2824,True
2825,True
2826,True
2827,True
2828,True
2829,True
2830,True
2831,True
2832,False
2833,False
2834,False
2835,False
2836,False
2837,False
2838,False
2839,False
2840,False
2841,True
2842,True
2843,True
2844,True
2845,True
2846,True
2847,True
2848,False
2849,False
2850,True
2851,True
2852,True
2853,True
2854,True
2855,True
2856,False
2857,False
2858,False
2859,True
2860,True
2861,True
2862,True
2863,True
2864,True
2865,False
2866,True
2867,True
2868,True
2869,True
2870,True
2871,True
2872,False
2873,True
2874,True
2875,True
2876,True
2877,False
2878,True
2879,True
2880,True
2881,True
2882,True
2883,False
2884,True
2885,True
2886,True
2887,True
2888,True
2889,False
2890,False
2891,True
2892,True
2893,True
2894,True
2895,True
2896,True
2897,True
2898,True
2899,False
2900,False
2901,False
2902,False
2903,False
2904,False
2905,True
2906,True
2907,True
2908,False
2909,False
2910,False
2911,True
2912,False
2913,True
2914,True
2915,True
2916,True
2917,True
2918,True
2919,True
2920,True
2921,True
2922,False
2923,True
2924,True
2925,True
2926,True
2927,True
2928,True
2929,True
2930,True
2931,True
2932,False
2933,True
2934,True
2935,True
2936,True
2937,True
2938,True
2939,True
2940,True
2941,True
2942,True
2943,False
2944,False
2945,False
2946,False
2947,True
2948,True
2949,True
2950,True
2951,True
2952,True
2953,False
2954,False
2955,False
2956,False
2957,True
2958,True
2959,True
2960,True
2961,True
2962,False
2963,False
2964,True
2965,True
2966,False
2967,False
2968,True
2969,True
2970,True
2971,True
2972,True
2973,True
2974,False
2975,False
2976,False
2977,False
2978,False
2979,True
2980,True
2981,True
2982,True
2983,True
2984,True
2985,True
2986,True
2987,False
2988,True
2989,True
2990,True
2991,False
2992,False
2993,False
2994,False
2995,False
2996,True
2997,True
